epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,292.098,0.92207,1.70764,1.17243,0.00859,0.25237,0.03485,0.01613,2.1747,3.978,2.60931,0.0675893,0.000327381,0.000327381
2,578.894,0.83462,1.16803,1.11764,0.79424,0.54574,0.66995,0.50716,0.92481,1.56175,1.18041,0.0345566,0.000628009,0.000628009
3,1570.42,0.81158,1.00714,1.09714,0.51302,0.42587,0.37701,0.2381,1.23818,2.18552,1.53406,0.00149088,0.000895637,0.000895637
4,1856.9,0.77783,0.96429,1.06527,0.66297,0.66398,0.67724,0.50013,0.97181,1.28674,1.23525,0.0008515,0.0008515,0.0008515
5,2136.52,0.73612,0.85318,1.05264,0.7077,0.59306,0.61624,0.44901,1.01166,1.42967,1.28784,0.000802,0.000802,0.000802
6,2587.5,0.73032,0.83973,1.04917,0.74657,0.65982,0.7372,0.55977,0.86938,1.13043,1.15316,0.0007525,0.0007525,0.0007525
7,2856.99,0.68714,0.76511,1.02841,0.78015,0.71293,0.73654,0.55101,0.92387,1.19636,1.14707,0.000703,0.000703,0.000703
8,3126.19,0.66849,0.73218,1.01261,0.73553,0.74448,0.76659,0.57809,0.81327,1.03406,1.05199,0.0006535,0.0006535,0.0006535
9,3391.33,0.6431,0.70019,0.99351,0.83957,0.69401,0.80794,0.62592,0.81312,0.95117,1.06659,0.000604,0.000604,0.000604
10,3655.76,0.62835,0.67396,0.98622,0.74278,0.6741,0.71744,0.5269,0.88181,1.19825,1.18324,0.0005545,0.0005545,0.0005545
11,3907.23,0.57018,0.6969,1.00067,0.73592,0.70328,0.78907,0.59841,0.84378,1.03462,1.15367,0.000505,0.000505,0.000505
12,7913.19,0.54821,0.63607,0.97949,0.69325,0.67014,0.69697,0.54552,0.83193,1.16912,1.13239,0.0004555,0.0004555,0.0004555
13,8081.15,0.52961,0.60376,0.9682,0.76672,0.7224,0.73654,0.58356,0.77194,1.00349,1.07834,0.000406,0.000406,0.000406
14,8239.54,0.48071,0.51612,0.94041,0.86576,0.69085,0.82812,0.65094,0.7679,0.84471,1.07536,0.0003565,0.0003565,0.0003565
15,8395.52,0.47128,0.4899,0.92572,0.82033,0.76972,0.82318,0.65776,0.73187,0.86578,1.08188,0.000307,0.000307,0.000307
16,8548.27,0.4502,0.46667,0.92209,0.87199,0.73186,0.82633,0.66797,0.73219,0.8508,1.05571,0.0002575,0.0002575,0.0002575
17,8705.18,0.42341,0.43518,0.90039,0.82738,0.7711,0.81699,0.65474,0.72624,0.86659,1.05786,0.000208,0.000208,0.000208
18,8891.45,0.41025,0.41937,0.89707,0.84836,0.74763,0.80244,0.67145,0.67672,0.93097,1.03598,0.0001585,0.0001585,0.0001585
19,9089.63,0.38406,0.38644,0.88296,0.87652,0.73898,0.82208,0.69152,0.65557,0.87636,1.01137,0.000109,0.000109,0.000109
20,9280.6,0.37322,0.37645,0.87005,0.84848,0.75958,0.80532,0.6803,0.68565,0.92884,1.0676,5.95e-05,5.95e-05,5.95e-05
