epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.9866,0.81602,2.21764,1.24507,0.00494,0.70192,0.14486,0.06407,2.01882,3.28864,2.49593,0.07921,0.00021,0.00021
2,66.7557,0.73742,1.51037,1.13196,0.0048,0.99038,0.41105,0.31455,0.73041,2.50737,1.25751,0.0574257,0.000425743,0.000425743
3,100.005,0.74443,1.24152,1.15924,1,0.14568,0.61496,0.39771,0.75282,2.41334,1.3063,0.0356371,0.00063713,0.00063713
4,133.26,0.73763,1.15102,1.15273,0.87211,0.33572,0.84797,0.43694,0.93987,2.07876,1.53432,0.0138442,0.000844161,0.000844161
5,166.407,0.79069,1.12003,1.163,0.95277,0.90385,0.96549,0.60348,0.6226,1.51676,1.19111,0.0009604,0.0009604,0.0009604
6,199.835,0.76381,0.98861,1.10182,0.55297,0.97115,0.6368,0.44312,0.77934,1.28135,1.24744,0.0009505,0.0009505,0.0009505
7,236.136,0.75198,0.98215,1.08829,0.39022,0.72115,0.48349,0.38768,0.94828,1.69099,1.43617,0.0009406,0.0009406,0.0009406
8,279.649,0.7616,0.96264,1.13908,0.71067,0.91346,0.80262,0.5239,0.89681,1.33496,1.35332,0.0009307,0.0009307,0.0009307
9,320.032,0.73577,0.95347,1.10574,0.79866,0.89942,0.81092,0.55168,0.85103,1.22271,1.29571,0.0009208,0.0009208,0.0009208
10,359.346,0.70647,0.89006,1.07993,0.80161,0.71748,0.8411,0.61178,0.52222,0.83112,0.97994,0.0009109,0.0009109,0.0009109
11,401.472,0.74903,0.81418,1.10939,0.92933,0.74038,0.86756,0.56538,0.54566,0.8004,1.01387,0.000901,0.000901,0.000901
12,442.944,0.67307,0.81504,1.08389,0.48227,0.75,0.5912,0.49114,0.44603,0.76067,0.9042,0.0008911,0.0008911,0.0008911
13,481.939,0.68338,0.8166,1.08775,0.95586,0.43269,0.53113,0.44787,0.5413,1.10622,1.00825,0.0008812,0.0008812,0.0008812
14,520.373,0.66273,0.81498,1.08024,0.75202,0.97115,0.89976,0.77436,0.46627,0.81609,0.9192,0.0008713,0.0008713,0.0008713
15,560.899,0.65958,0.73819,1.07989,0.96991,0.96158,0.98998,0.76318,0.4568,0.63672,0.93743,0.0008614,0.0008614,0.0008614
16,600.791,0.61723,0.69881,1.04694,0.72523,0.98077,0.90376,0.60156,0.44067,0.80819,0.93303,0.0008515,0.0008515,0.0008515
17,639.878,0.63266,0.71999,1.04974,0.93257,0.72977,0.86564,0.73275,0.41715,0.66962,0.88899,0.0008416,0.0008416,0.0008416
18,678.058,0.60412,0.69956,1.0421,0.95349,0.72115,0.90749,0.70993,0.44561,0.68724,0.90236,0.0008317,0.0008317,0.0008317
19,715.987,0.66426,0.70129,1.06502,0.94667,0.89658,0.98877,0.79822,0.46201,0.77105,0.93336,0.0008218,0.0008218,0.0008218
20,753.809,0.62613,0.69905,1.07067,0.97128,0.95251,0.99419,0.77704,0.39006,0.62043,0.88311,0.0008119,0.0008119,0.0008119
21,791.726,0.60471,0.65313,1.01642,0.87642,0.69478,0.78761,0.6119,0.43017,0.67231,0.91032,0.000802,0.000802,0.000802
22,829.669,0.60812,0.65145,1.04204,0.79148,0.95986,0.91107,0.78042,0.41594,0.63812,0.89274,0.0007921,0.0007921,0.0007921
23,868.088,0.65938,0.67539,1.04904,0.98249,0.96661,0.99481,0.8404,0.40028,0.59905,0.86175,0.0007822,0.0007822,0.0007822
24,909.374,0.58176,0.62424,1.02443,0.96941,1,0.99424,0.71107,0.4211,0.54768,0.88739,0.0007723,0.0007723,0.0007723
25,944.726,0.5963,0.62287,1.03805,0.64735,1,0.74512,0.62741,0.4654,0.60536,0.94261,0.0007624,0.0007624,0.0007624
26,980.365,0.65437,0.63793,1.05744,0.71319,0.98077,0.86921,0.67845,0.41422,0.61523,0.89294,0.0007525,0.0007525,0.0007525
27,1015.53,0.63896,0.62209,1.07529,0.80471,0.99045,0.91014,0.65453,0.38907,0.54563,0.88326,0.0007426,0.0007426,0.0007426
28,1051.04,0.57797,0.64028,1.01485,0.93924,0.74038,0.83454,0.5532,0.43244,0.61335,0.93001,0.0007327,0.0007327,0.0007327
