epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,239.703,0.81052,1.76421,1.25513,0.76985,0.25684,0.48479,0.34475,0.80986,2.51087,1.42847,0.0674125,0.000329167,0.000329167
2,1076.3,0.80773,1.09324,1.24912,0.68543,0.85767,0.81948,0.59767,0.83237,1.19115,1.44421,0.0343797,0.000629706,0.000629706
3,1367.89,0.80706,1.01707,1.24027,0.6868,0.83476,0.85644,0.66884,0.73122,1.21623,1.25801,0.00131391,0.000897246,0.000897246
4,1662.84,0.81492,0.98719,1.25354,0.81293,0.82697,0.86624,0.6717,0.74617,0.99134,1.26119,0.0008515,0.0008515,0.0008515
5,1944.32,0.76628,0.90685,1.22521,0.85799,0.82462,0.91373,0.69319,0.77584,0.86193,1.29431,0.000802,0.000802,0.000802
6,2231.29,0.7431,0.84746,1.20359,0.7389,0.84076,0.89064,0.6979,0.66869,1.07849,1.2074,0.0007525,0.0007525,0.0007525
7,2527.36,0.72699,0.79828,1.18211,0.85586,0.91698,0.93837,0.74801,0.64392,0.6928,1.16263,0.000703,0.000703,0.000703
8,2781.97,0.72125,0.75641,1.18227,0.89417,0.92864,0.96308,0.77996,0.63417,0.65664,1.15104,0.0006535,0.0006535,0.0006535
9,3033.59,0.70429,0.75435,1.17444,0.89859,0.94797,0.97453,0.7861,0.66747,0.6638,1.1797,0.000604,0.000604,0.000604
10,5285.99,0.67942,0.70552,1.14728,0.95215,0.93368,0.97777,0.79711,0.64806,0.55615,1.16669,0.0005545,0.0005545,0.0005545
11,5554.05,0.57259,0.64553,1.13696,0.86895,0.93703,0.96279,0.78033,0.62343,0.63382,1.15475,0.000505,0.000505,0.000505
12,5816.49,0.57167,0.58942,1.12874,0.94206,0.93301,0.97388,0.83346,0.60169,0.52992,1.11116,0.0004555,0.0004555,0.0004555
13,6074.77,0.54325,0.54176,1.1237,0.92669,0.93535,0.97214,0.81849,0.58656,0.51792,1.10752,0.000406,0.000406,0.000406
14,6343.96,0.52885,0.51743,1.10774,0.89479,0.96852,0.98291,0.8444,0.53855,0.49319,1.05199,0.0003565,0.0003565,0.0003565
15,6579.11,0.515,0.49729,1.07833,0.91473,0.95569,0.97238,0.8427,0.53101,0.47394,1.05457,0.000307,0.000307,0.000307
16,6822.64,0.49774,0.45015,1.08045,0.92266,0.95696,0.97464,0.84927,0.51754,0.47336,1.03789,0.0002575,0.0002575,0.0002575
17,7085.13,0.47198,0.42027,1.04534,0.91682,0.95842,0.9793,0.85024,0.52582,0.45398,1.04201,0.000208,0.000208,0.000208
18,7323.98,0.46949,0.40697,1.0467,0.93697,0.97202,0.9783,0.85871,0.50211,0.43854,1.02207,0.0001585,0.0001585,0.0001585
19,7563.06,0.46245,0.38676,1.03125,0.95181,0.97776,0.98384,0.87138,0.48534,0.38091,1.02328,0.000109,0.000109,0.000109
20,7809.66,0.45217,0.37071,1.03228,0.95362,0.96422,0.9855,0.87025,0.49065,0.40889,1.01934,5.95e-05,5.95e-05,5.95e-05
