epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,120.749,0.96005,2.1046,1.35224,0.00776,0.8542,0.31139,0.17881,1.20108,2.9897,1.9208,0.067825,0.000325,0.000325
2,244.088,0.95705,1.4369,1.32163,0.5699,0.54143,0.57745,0.38763,1.02457,1.87421,1.45431,0.0347924,0.000625746,0.000625746
3,370.11,0.93129,1.27074,1.28833,0.68873,0.66295,0.70443,0.54377,0.77545,1.40765,1.28086,0.00172683,0.000893492,0.000893492
4,498.861,0.91067,1.19326,1.29573,0.6883,0.55733,0.53988,0.43203,0.80759,1.63006,1.2721,0.0008515,0.0008515,0.0008515
5,625.225,0.88877,1.1279,1.28362,0.7197,0.67743,0.72277,0.53679,0.88458,1.30865,1.32568,0.000802,0.000802,0.000802
6,734.339,0.85258,1.02969,1.24016,0.71987,0.64535,0.7245,0.56374,0.7508,1.42758,1.31502,0.0007525,0.0007525,0.0007525
7,862.123,0.84014,1.01782,1.25455,0.67515,0.68737,0.71824,0.56121,0.7551,1.18023,1.23379,0.000703,0.000703,0.000703
8,989.659,0.81588,0.96219,1.23973,0.80227,0.73727,0.7971,0.63804,0.75129,1.05792,1.24907,0.0006535,0.0006535,0.0006535
9,1130.46,0.81938,0.92696,1.22875,0.86481,0.69222,0.80099,0.5884,0.90723,1.15181,1.3656,0.000604,0.000604,0.000604
10,1261.18,0.78284,0.93378,1.21692,0.77283,0.75679,0.76024,0.59323,0.79444,1.07899,1.27278,0.0005545,0.0005545,0.0005545
11,1381.28,0.69149,1.0046,1.17324,0.86053,0.77437,0.83528,0.69451,0.61977,0.98313,1.13945,0.000505,0.000505,0.000505
12,1510.97,0.65785,0.86408,1.16953,0.77912,0.66469,0.7573,0.60163,0.70111,1.15591,1.16382,0.0004555,0.0004555,0.0004555
13,1630.29,0.62712,0.78144,1.11582,0.89211,0.73118,0.84993,0.71104,0.59272,0.86658,1.09819,0.000406,0.000406,0.000406
14,1750.25,0.59675,0.71786,1.10356,0.80344,0.80253,0.83994,0.71784,0.59409,0.8573,1.11184,0.0003565,0.0003565,0.0003565
15,1861.39,0.57636,0.68942,1.08426,0.84577,0.77539,0.82965,0.68508,0.63981,0.90605,1.12205,0.000307,0.000307,0.000307
16,1972.52,0.55785,0.62928,1.06477,0.84472,0.75709,0.84798,0.73577,0.54353,0.81059,1.08723,0.0002575,0.0002575,0.0002575
17,2102.91,0.5421,0.60452,1.04491,0.83528,0.77872,0.84892,0.73708,0.55273,0.78558,1.08062,0.000208,0.000208,0.000208
18,2219.82,0.52129,0.58788,1.03353,0.91314,0.73352,0.83755,0.70165,0.63019,0.86856,1.10475,0.0001585,0.0001585,0.0001585
19,2336.63,0.50941,0.56562,1.02197,0.81422,0.82558,0.8487,0.74008,0.54081,0.78034,1.06485,0.000109,0.000109,0.000109
20,2462.48,0.50304,0.55503,1.03147,0.87237,0.79383,0.8564,0.74185,0.53117,0.7624,1.06168,5.95e-05,5.95e-05,5.95e-05
