epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.7939,1.51754,2.39014,2.08335,0.01384,0.89474,0.38899,0.08908,2.33762,3.65213,5.19721,0.09604,4e-05,4e-05
2,28.7314,1.24631,2.01255,1.83492,0.01206,0.89474,0.51135,0.12373,2.15807,3.68838,4.78948,0.0910882,8.8218e-05,8.8218e-05
3,43.197,1.36559,1.81455,1.84041,0.00906,0.89474,0.3444,0.10468,2.48177,3.10453,4.30176,0.0861345,0.000134456,0.000134456
4,57.384,1.43658,1.69158,1.89934,0.00861,0.89474,0.48371,0.19327,1.6225,2.73901,2.94234,0.0811787,0.000178714,0.000178714
5,72.2817,1.31235,1.52198,1.77763,0.00933,0.89474,0.47552,0.23246,1.47085,2.63728,2.84458,0.076221,0.000220992,0.000220992
6,88.0599,1.4142,1.58414,1.85059,0.00874,0.94737,0.40798,0.23534,1.46668,2.56567,2.79242,0.0712613,0.00026129,0.00026129
7,102.564,1.29791,1.48513,1.79864,0.00653,0.89474,0.63142,0.31894,1.41307,2.44981,2.75436,0.0662996,0.000299608,0.000299608
8,117.135,1.36718,1.31235,1.74786,0.00576,0.94737,0.74163,0.34672,1.3622,2.42313,2.67624,0.0613359,0.000335946,0.000335946
9,131.668,1.38858,1.32912,1.81778,0.02347,1,0.54972,0.20721,1.69679,2.35367,3.01586,0.0563703,0.000370304,0.000370304
10,146.401,1.33899,1.27229,1.83462,0.15852,0.89474,0.67835,0.24847,1.85687,2.156,3.20189,0.0514027,0.000402682,0.000402682
11,161.194,1.37986,1.23637,1.80938,0.53041,0.94737,0.88039,0.32833,1.60171,1.99263,2.73076,0.0464331,0.00043308,0.00043308
12,176.539,1.40648,1.28448,1.84528,0.71283,0.78411,0.812,0.32057,1.44252,2.01132,2.56023,0.0414615,0.000461498,0.000461498
13,191.344,1.40509,1.25974,1.84408,0.68831,0.73684,0.71499,0.29428,1.62112,2.018,2.71502,0.0364879,0.000487936,0.000487936
