epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,410.454,1.76018,1.97298,1.70445,0.60407,0.51984,0.57198,0.31012,1.68238,2.47214,1.6922,0.0672661,0.000330645,0.000330645
2,865.274,1.74062,1.44272,1.63423,0.65857,0.6627,0.65289,0.3731,1.62795,1.04781,1.41756,0.0342333,0.000631112,0.000631112
3,1293.43,1.70023,1.33196,1.61757,0.81788,0.63492,0.73207,0.39884,1.80997,1.42465,1.54008,0.0011674,0.000898578,0.000898578
4,1688.62,1.66574,1.25545,1.57233,0.72514,0.6746,0.73986,0.41089,1.54386,0.96291,1.38504,0.0008515,0.0008515,0.0008515
5,2077.74,1.6217,1.18236,1.54454,0.67522,0.6746,0.70618,0.36559,1.61615,1.0197,1.41869,0.000802,0.000802,0.000802
6,2462.89,1.61378,1.16213,1.55793,0.75222,0.69048,0.71238,0.42399,1.5483,0.98628,1.36362,0.0007525,0.0007525,0.0007525
7,2846.5,1.58525,1.1033,1.5335,0.9129,0.68337,0.72483,0.40205,1.73156,0.887,1.36179,0.000703,0.000703,0.000703
8,3229.03,1.58892,1.11906,1.5212,0.89167,0.75794,0.81693,0.45431,1.56549,0.82631,1.39229,0.0006535,0.0006535,0.0006535
9,3602.21,1.52507,1.05107,1.49128,0.94658,0.72222,0.77041,0.43926,1.61969,0.85274,1.38622,0.000604,0.000604,0.000604
10,3982.82,1.52105,1.02935,1.49068,0.96777,0.69279,0.78198,0.44699,1.63637,0.76686,1.35138,0.0005545,0.0005545,0.0005545
11,4347.28,1.4986,0.85081,1.49875,0.78613,0.69841,0.75576,0.43385,1.59955,0.78949,1.37132,0.000505,0.000505,0.000505
12,4701.81,1.47189,0.81872,1.48917,0.81758,0.78175,0.78018,0.44067,1.56475,0.79166,1.44594,0.0004555,0.0004555,0.0004555
13,5055.23,1.45961,0.77531,1.47327,0.82523,0.76984,0.7665,0.46164,1.50783,0.70212,1.36077,0.000406,0.000406,0.000406
14,5410.81,1.42709,0.75149,1.44096,0.8411,0.76984,0.80463,0.4752,1.53288,0.69775,1.31894,0.0003565,0.0003565,0.0003565
15,5806.35,1.40058,0.73777,1.42414,0.78642,0.78234,0.8161,0.47095,1.47978,0.72674,1.30988,0.000307,0.000307,0.000307
16,6213.6,1.37777,0.70614,1.41104,0.79141,0.83962,0.83245,0.44664,1.52435,0.72282,1.36452,0.0002575,0.0002575,0.0002575
17,6606.37,1.35951,0.70031,1.40549,0.87149,0.80884,0.8378,0.48321,1.48092,0.70775,1.32609,0.000208,0.000208,0.000208
18,7011.22,1.33186,0.67434,1.3733,0.78637,0.83951,0.82884,0.477,1.52595,0.68946,1.3269,0.0001585,0.0001585,0.0001585
19,7412.71,1.30514,0.64613,1.35614,0.84078,0.85317,0.84315,0.46821,1.60507,0.64132,1.37213,0.000109,0.000109,0.000109
20,7808.45,1.28419,0.63532,1.34049,0.86391,0.86508,0.86247,0.5086,1.53131,0.65629,1.30889,5.95e-05,5.95e-05,5.95e-05
